id;person_id;building_id;scandate;scantime;in_out;created_at;updated_at
73;57;5;2023-03-07;9:12:06;in;2023-03-27 15:12:46;2023-03-27 15:12:46
74;57;5;2023-03-07;17:12:41;out;2023-03-27 15:12:46;2023-03-27 15:12:46
75;63;4;2023-03-07;10:38:50;in;2023-03-27 15:12:46;2023-03-27 15:12:46
76;63;4;2023-03-07;17:27:07;out;2023-03-27 15:12:46;2023-03-27 15:12:46
77;55;4;2023-03-07;6:41:31;in;2023-03-27 15:12:46;2023-03-27 15:12:46
78;55;4;2023-03-07;17:28:55;out;2023-03-27 15:12:46;2023-03-27 15:12:46
79;4;3;2023-03-07;9:23:40;in;2023-03-27 15:12:46;2023-03-27 15:12:46
80;4;3;2023-03-07;15:41:35;out;2023-03-27 15:12:46;2023-03-27 15:12:46
81;35;4;2023-03-07;8:41:59;in;2023-03-27 15:12:46;2023-03-27 15:12:46
82;35;4;2023-03-07;15:26:40;out;2023-03-27 15:12:46;2023-03-27 15:12:46
83;66;2;2023-03-07;9:02:45;in;2023-03-27 15:12:46;2023-03-27 15:12:46
84;66;2;2023-03-07;20:27:55;out;2023-03-27 15:12:46;2023-03-27 15:12:46
85;39;4;2023-03-07;7:35:20;in;2023-03-27 15:12:46;2023-03-27 15:12:46
86;39;4;2023-03-07;19:49:41;out;2023-03-27 15:12:46;2023-03-27 15:12:46
87;36;2;2023-03-07;9:22:48;in;2023-03-27 15:12:46;2023-03-27 15:12:46
88;36;2;2023-03-07;17:53:14;out;2023-03-27 15:12:46;2023-03-27 15:12:46
89;70;2;2023-03-07;7:58:31;in;2023-03-27 15:12:46;2023-03-27 15:12:46
90;70;2;2023-03-07;17:26:56;out;2023-03-27 15:12:46;2023-03-27 15:12:46
91;52;2;2023-03-07;9:38:35;in;2023-03-27 15:12:46;2023-03-27 15:12:46
92;78;5;2023-03-07;6:11:43;in;2023-03-27 15:12:46;2023-03-27 15:12:46
93;78;5;2023-03-07;16:04:10;out;2023-03-27 15:12:46;2023-03-27 15:12:46
94;23;1;2023-03-07;8:20:26;in;2023-03-27 15:12:46;2023-03-27 15:12:46
95;23;1;2023-03-07;19:32:25;out;2023-03-27 15:12:46;2023-03-27 15:12:46
96;27;3;2023-03-07;9:45:33;in;2023-03-27 15:12:46;2023-03-27 15:12:46
97;27;3;2023-03-07;19:21:12;out;2023-03-27 15:12:46;2023-03-27 15:12:46
98;79;5;2023-03-07;8:17:22;in;2023-03-27 15:12:46;2023-03-27 15:12:46
99;79;5;2023-03-07;15:01:59;out;2023-03-27 15:12:46;2023-03-27 15:12:46
100;47;4;2023-03-07;8:05:47;in;2023-03-27 15:12:46;2023-03-27 15:12:46
101;47;4;2023-03-07;18:44:35;out;2023-03-27 15:12:46;2023-03-27 15:12:46
102;59;5;2023-03-07;6:56:50;in;2023-03-27 15:12:46;2023-03-27 15:12:46
103;59;5;2023-03-07;20:01:12;out;2023-03-27 15:12:46;2023-03-27 15:12:46
104;29;5;2023-03-07;10:32:56;in;2023-03-27 15:12:46;2023-03-27 15:12:46
105;29;5;2023-03-07;18:14:17;out;2023-03-27 15:12:46;2023-03-27 15:12:46
106;25;3;2023-03-07;6:32:25;in;2023-03-27 15:12:46;2023-03-27 15:12:46
107;25;3;2023-03-07;16:16:13;out;2023-03-27 15:12:46;2023-03-27 15:12:46
108;3;5;2023-03-07;8:51:41;in;2023-03-27 15:12:46;2023-03-27 15:12:46
109;3;5;2023-03-07;17:46:11;out;2023-03-27 15:12:46;2023-03-27 15:12:46
110;46;4;2023-03-07;7:56:45;in;2023-03-27 15:12:46;2023-03-27 15:12:46
111;46;4;2023-03-07;19:56:19;out;2023-03-27 15:12:46;2023-03-27 15:12:46
112;2;5;2023-03-07;9:28:29;in;2023-03-27 15:12:46;2023-03-27 15:12:46
113;2;5;2023-03-07;18:46:47;out;2023-03-27 15:12:46;2023-03-27 15:12:46
114;43;1;2023-03-07;8:15:13;in;2023-03-27 15:12:46;2023-03-27 15:12:46
115;43;1;2023-03-07;16:09:38;out;2023-03-27 15:12:46;2023-03-27 15:12:46
116;56;1;2023-03-07;6:54:35;in;2023-03-27 15:12:46;2023-03-27 15:12:46
117;56;1;2023-03-07;19:54:14;out;2023-03-27 15:12:46;2023-03-27 15:12:46
118;8;4;2023-03-07;7:43:56;in;2023-03-27 15:12:46;2023-03-27 15:12:46
119;8;4;2023-03-07;17:56:12;out;2023-03-27 15:12:46;2023-03-27 15:12:46
120;61;4;2023-03-07;10:41:27;in;2023-03-27 15:12:46;2023-03-27 15:12:46
121;61;4;2023-03-07;15:52:17;out;2023-03-27 15:12:46;2023-03-27 15:12:46
122;40;4;2023-03-07;6:05:36;in;2023-03-27 15:12:46;2023-03-27 15:12:46
123;40;4;2023-03-07;15:04:17;out;2023-03-27 15:12:46;2023-03-27 15:12:46
124;19;1;2023-03-07;9:05:53;in;2023-03-27 15:12:46;2023-03-27 15:12:46
125;19;1;2023-03-07;16:42:38;out;2023-03-27 15:12:46;2023-03-27 15:12:46
126;50;4;2023-03-07;6:53:21;in;2023-03-27 15:12:46;2023-03-27 15:12:46
127;50;4;2023-03-07;18:06:14;out;2023-03-27 15:12:46;2023-03-27 15:12:46
128;54;3;2023-03-08;9:59:17;in;2023-03-27 15:12:46;2023-03-27 15:12:46
129;54;3;2023-03-08;19:15:55;out;2023-03-27 15:12:46;2023-03-27 15:12:46
130;44;4;2023-03-08;7:04:41;in;2023-03-27 15:12:46;2023-03-27 15:12:46
131;44;4;2023-03-08;18:18:30;out;2023-03-27 15:12:46;2023-03-27 15:12:46
132;45;2;2023-03-08;9:32:05;in;2023-03-27 15:12:46;2023-03-27 15:12:46
133;45;2;2023-03-08;16:30:00;out;2023-03-27 15:12:46;2023-03-27 15:12:46
134;10;1;2023-03-08;10:35:01;in;2023-03-27 15:12:46;2023-03-27 15:12:46
135;10;1;2023-03-08;20:17:57;out;2023-03-27 15:12:46;2023-03-27 15:12:46
136;24;3;2023-03-08;6:35:29;in;2023-03-27 15:12:46;2023-03-27 15:12:46
137;24;3;2023-03-08;19:22:01;out;2023-03-27 15:12:46;2023-03-27 15:12:46
138;65;5;2023-03-08;9:31:05;in;2023-03-27 15:12:46;2023-03-27 15:12:46
139;65;5;2023-03-08;18:24:38;out;2023-03-27 15:12:46;2023-03-27 15:12:46
140;73;4;2023-03-08;9:24:06;in;2023-03-27 15:12:46;2023-03-27 15:12:46
141;73;4;2023-03-08;19:56:50;out;2023-03-27 15:12:46;2023-03-27 15:12:46
142;16;5;2023-03-08;6:41:14;in;2023-03-27 15:12:46;2023-03-27 15:12:46
143;9;1;2023-03-08;9:35:26;in;2023-03-27 15:12:46;2023-03-27 15:12:46
144;9;1;2023-03-08;16:50:30;out;2023-03-27 15:12:46;2023-03-27 15:12:46
145;7;5;2023-03-08;10:22:48;in;2023-03-27 15:12:46;2023-03-27 15:12:46
146;7;5;2023-03-08;18:06:06;out;2023-03-27 15:12:46;2023-03-27 15:12:46
147;74;5;2023-03-08;6:44:46;in;2023-03-27 15:12:46;2023-03-27 15:12:46
148;74;5;2023-03-08;17:49:01;out;2023-03-27 15:12:46;2023-03-27 15:12:46
149;1;2;2023-03-08;8:35:51;in;2023-03-27 15:12:46;2023-03-27 15:12:46
150;1;2;2023-03-08;19:00:18;out;2023-03-27 15:12:46;2023-03-27 15:12:46
151;30;2;2023-03-08;7:29:31;in;2023-03-27 15:12:46;2023-03-27 15:12:46
152;30;2;2023-03-08;16:26:27;out;2023-03-27 15:12:46;2023-03-27 15:12:46
153;49;2;2023-03-08;10:19:46;in;2023-03-27 15:12:46;2023-03-27 15:12:46
154;49;2;2023-03-08;19:59:01;out;2023-03-27 15:12:46;2023-03-27 15:12:46
155;15;5;2023-03-08;6:41:32;in;2023-03-27 15:12:46;2023-03-27 15:12:46
156;15;5;2023-03-08;17:29:19;out;2023-03-27 15:12:46;2023-03-27 15:12:46
157;69;4;2023-03-08;9:23:47;in;2023-03-27 15:12:46;2023-03-27 15:12:46
158;41;2;2023-03-08;9:56:38;in;2023-03-27 15:12:46;2023-03-27 15:12:46
159;68;1;2023-03-08;6:36:22;in;2023-03-27 15:12:46;2023-03-27 15:12:46
160;22;1;2023-03-08;6:23:35;in;2023-03-27 15:12:46;2023-03-27 15:12:46
161;22;1;2023-03-08;15:58:06;out;2023-03-27 15:12:46;2023-03-27 15:12:46
162;76;3;2023-03-08;10:08:08;in;2023-03-27 15:12:46;2023-03-27 15:12:46
163;76;3;2023-03-08;15:52:29;out;2023-03-27 15:12:46;2023-03-27 15:12:46
164;58;2;2023-03-08;6:29:39;in;2023-03-27 15:12:46;2023-03-27 15:12:46
165;58;2;2023-03-08;15:24:50;out;2023-03-27 15:12:46;2023-03-27 15:12:46
166;11;1;2023-03-08;9:09:22;in;2023-03-27 15:12:46;2023-03-27 15:12:46
167;11;1;2023-03-08;20:59:23;out;2023-03-27 15:12:46;2023-03-27 15:12:46
168;20;4;2023-03-08;9:36:08;in;2023-03-27 15:12:46;2023-03-27 15:12:46
169;72;2;2023-03-08;7:35:32;in;2023-03-27 15:12:46;2023-03-27 15:12:46
170;14;5;2023-03-08;7:01:45;in;2023-03-27 15:12:46;2023-03-27 15:12:46
171;75;2;2023-03-08;8:08:05;in;2023-03-27 15:12:46;2023-03-27 15:12:46
172;75;2;2023-03-08;15:44:26;out;2023-03-27 15:12:46;2023-03-27 15:12:46
173;26;5;2023-03-08;6:59:46;in;2023-03-27 15:12:46;2023-03-27 15:12:46
174;80;3;2023-03-08;8:56:33;in;2023-03-27 15:12:46;2023-03-27 15:12:46
175;80;3;2023-03-08;16:04:26;out;2023-03-27 15:12:46;2023-03-27 15:12:46
176;38;1;2023-03-08;6:42:34;in;2023-03-27 15:12:46;2023-03-27 15:12:46
177;38;1;2023-03-08;18:52:49;out;2023-03-27 15:12:46;2023-03-27 15:12:46
178;28;5;2023-03-08;7:14:30;in;2023-03-27 15:12:46;2023-03-27 15:12:46
179;28;5;2023-03-08;16:25:21;out;2023-03-27 15:12:46;2023-03-27 15:12:46
180;6;4;2023-03-08;9:54:27;in;2023-03-27 15:12:46;2023-03-27 15:12:46
181;6;4;2023-03-08;17:33:37;out;2023-03-27 15:12:46;2023-03-27 15:12:46
182;5;1;2023-03-08;6:05:04;in;2023-03-27 15:12:46;2023-03-27 15:12:46
183;5;1;2023-03-08;16:53:59;out;2023-03-27 15:12:46;2023-03-27 15:12:46
184;12;2;2023-03-08;8:14:56;in;2023-03-27 15:12:46;2023-03-27 15:12:46
185;12;2;2023-03-08;15:48:35;out;2023-03-27 15:12:46;2023-03-27 15:12:46
186;17;4;2023-03-08;8:30:03;in;2023-03-27 15:12:46;2023-03-27 15:12:46
187;17;4;2023-03-08;17:21:19;out;2023-03-27 15:12:46;2023-03-27 15:12:46
188;31;5;2023-03-08;9:40:37;in;2023-03-27 15:12:46;2023-03-27 15:12:46
189;31;5;2023-03-08;19:12:12;out;2023-03-27 15:12:46;2023-03-27 15:12:46
190;18;1;2023-03-08;8:32:39;in;2023-03-27 15:12:46;2023-03-27 15:12:46
191;18;1;2023-03-08;15:05:49;out;2023-03-27 15:12:46;2023-03-27 15:12:46
192;62;4;2023-03-08;6:52:15;in;2023-03-27 15:12:46;2023-03-27 15:12:46
193;62;4;2023-03-08;19:23:10;out;2023-03-27 15:12:46;2023-03-27 15:12:46
194;77;2;2023-03-08;8:35:20;in;2023-03-27 15:12:46;2023-03-27 15:12:46
195;77;2;2023-03-08;19:41:24;out;2023-03-27 15:12:46;2023-03-27 15:12:46
196;53;2;2023-03-08;6:51:40;in;2023-03-27 15:12:46;2023-03-27 15:12:46
197;60;5;2023-03-08;8:28:49;in;2023-03-27 15:12:46;2023-03-27 15:12:46
198;60;5;2023-03-08;19:05:47;out;2023-03-27 15:12:46;2023-03-27 15:12:46
199;34;5;2023-03-08;7:49:43;in;2023-03-27 15:12:46;2023-03-27 15:12:46
200;34;5;2023-03-08;18:01:53;out;2023-03-27 15:12:46;2023-03-27 15:12:46
201;51;4;2023-03-08;6:28:17;in;2023-03-27 15:12:46;2023-03-27 15:12:46
202;57;3;2023-03-08;9:10:10;in;2023-03-27 15:12:46;2023-03-27 15:12:46
203;57;3;2023-03-08;20:52:28;out;2023-03-27 15:12:46;2023-03-27 15:12:46
204;63;2;2023-03-08;6:42:32;in;2023-03-27 15:12:46;2023-03-27 15:12:46
205;63;2;2023-03-08;15:23:53;out;2023-03-27 15:12:46;2023-03-27 15:12:46
206;55;1;2023-03-08;8:46:26;in;2023-03-27 15:12:46;2023-03-27 15:12:46
207;55;1;2023-03-08;18:03:34;out;2023-03-27 15:12:46;2023-03-27 15:12:46
208;4;2;2023-03-08;7:18:06;in;2023-03-27 15:12:46;2023-03-27 15:12:46
209;4;2;2023-03-08;20:11:02;out;2023-03-27 15:12:46;2023-03-27 15:12:46
210;35;1;2023-03-08;8:31:30;in;2023-03-27 15:12:46;2023-03-27 15:12:46
211;35;1;2023-03-08;18:28:24;out;2023-03-27 15:12:46;2023-03-27 15:12:46
212;66;2;2023-03-08;7:56:44;in;2023-03-27 15:12:46;2023-03-27 15:12:46
213;66;2;2023-03-08;16:52:55;out;2023-03-27 15:12:46;2023-03-27 15:12:46
214;39;2;2023-03-08;9:38:50;in;2023-03-27 15:12:46;2023-03-27 15:12:46
215;39;2;2023-03-08;16:22:26;out;2023-03-27 15:12:46;2023-03-27 15:12:46
216;36;3;2023-03-08;9:42:36;in;2023-03-27 15:12:46;2023-03-27 15:12:46
217;36;3;2023-03-08;19:41:47;out;2023-03-27 15:12:46;2023-03-27 15:12:46
218;70;1;2023-03-08;10:41:48;in;2023-03-27 15:12:46;2023-03-27 15:12:46
219;70;1;2023-03-08;18:12:52;out;2023-03-27 15:12:46;2023-03-27 15:12:46
220;52;1;2023-03-08;7:08:07;in;2023-03-27 15:12:46;2023-03-27 15:12:46
221;52;1;2023-03-08;19:59:14;out;2023-03-27 15:12:46;2023-03-27 15:12:46
222;78;1;2023-03-08;6:48:02;in;2023-03-27 15:12:46;2023-03-27 15:12:46
223;78;1;2023-03-08;15:51:39;out;2023-03-27 15:12:46;2023-03-27 15:12:46
224;23;4;2023-03-08;8:37:46;in;2023-03-27 15:12:46;2023-03-27 15:12:46
225;23;4;2023-03-08;18:34:39;out;2023-03-27 15:12:46;2023-03-27 15:12:46
226;27;4;2023-03-08;9:39:55;in;2023-03-27 15:12:46;2023-03-27 15:12:46
227;27;4;2023-03-08;20:29:36;out;2023-03-27 15:12:46;2023-03-27 15:12:46
228;79;2;2023-03-08;6:02:26;in;2023-03-27 15:12:46;2023-03-27 15:12:46
229;79;2;2023-03-08;16:46:26;out;2023-03-27 15:12:46;2023-03-27 15:12:46
230;47;5;2023-03-08;7:21:10;in;2023-03-27 15:12:46;2023-03-27 15:12:46
231;47;5;2023-03-08;17:09:49;out;2023-03-27 15:12:46;2023-03-27 15:12:46
232;59;2;2023-03-08;9:58:55;in;2023-03-27 15:12:46;2023-03-27 15:12:46
233;59;2;2023-03-08;15:15:06;out;2023-03-27 15:12:46;2023-03-27 15:12:46
234;29;2;2023-03-08;9:45:15;in;2023-03-27 15:12:46;2023-03-27 15:12:46
235;29;2;2023-03-08;16:11:23;out;2023-03-27 15:12:46;2023-03-27 15:12:46
236;25;3;2023-03-08;9:32:16;in;2023-03-27 15:12:46;2023-03-27 15:12:46
237;3;1;2023-03-08;10:38:17;in;2023-03-27 15:12:46;2023-03-27 15:12:46
238;3;1;2023-03-08;20:42:52;out;2023-03-27 15:12:46;2023-03-27 15:12:46
239;46;3;2023-03-08;7:20:09;in;2023-03-27 15:12:46;2023-03-27 15:12:46
240;46;3;2023-03-08;19:31:05;out;2023-03-27 15:12:46;2023-03-27 15:12:46
241;2;2;2023-03-08;10:04:36;in;2023-03-27 15:12:46;2023-03-27 15:12:46
242;2;2;2023-03-08;16:44:42;out;2023-03-27 15:12:46;2023-03-27 15:12:46
243;43;3;2023-03-08;8:46:36;in;2023-03-27 15:12:46;2023-03-27 15:12:46
244;43;3;2023-03-08;19:43:28;out;2023-03-27 15:12:46;2023-03-27 15:12:46
245;56;5;2023-03-08;7:33:37;in;2023-03-27 15:12:46;2023-03-27 15:12:46
246;56;5;2023-03-08;18:40:10;out;2023-03-27 15:12:46;2023-03-27 15:12:46
247;8;4;2023-03-08;9:19:54;in;2023-03-27 15:12:46;2023-03-27 15:12:46
248;8;4;2023-03-08;15:09:58;out;2023-03-27 15:12:46;2023-03-27 15:12:46
249;61;4;2023-03-08;8:34:35;in;2023-03-27 15:12:46;2023-03-27 15:12:46
250;61;4;2023-03-08;15:20:20;out;2023-03-27 15:12:46;2023-03-27 15:12:46
251;40;3;2023-03-08;8:15:48;in;2023-03-27 15:12:46;2023-03-27 15:12:46
252;40;3;2023-03-08;19:51:33;out;2023-03-27 15:12:46;2023-03-27 15:12:46
253;19;1;2023-03-08;8:11:22;in;2023-03-27 15:12:46;2023-03-27 15:12:46
254;19;1;2023-03-08;15:56:32;out;2023-03-27 15:12:46;2023-03-27 15:12:46
255;50;4;2023-03-08;7:41:58;in;2023-03-27 15:12:46;2023-03-27 15:12:46
256;50;4;2023-03-08;17:47:13;out;2023-03-27 15:12:46;2023-03-27 15:12:46
257;54;3;2023-03-09;9:05:57;in;2023-03-27 15:12:46;2023-03-27 15:12:46
258;54;3;2023-03-09;18:15:42;out;2023-03-27 15:12:46;2023-03-27 15:12:46
259;44;5;2023-03-09;6:04:34;in;2023-03-27 15:12:46;2023-03-27 15:12:46
260;44;5;2023-03-09;18:37:49;out;2023-03-27 15:12:46;2023-03-27 15:12:46
261;45;4;2023-03-09;7:38:41;in;2023-03-27 15:12:46;2023-03-27 15:12:46
262;45;4;2023-03-09;19:11:05;out;2023-03-27 15:12:46;2023-03-27 15:12:46
263;10;2;2023-03-09;10:53:39;in;2023-03-27 15:12:46;2023-03-27 15:12:46
264;10;2;2023-03-09;18:17:24;out;2023-03-27 15:12:46;2023-03-27 15:12:46
265;24;2;2023-03-09;10:30:48;in;2023-03-27 15:12:46;2023-03-27 15:12:46
266;24;2;2023-03-09;17:25:13;out;2023-03-27 15:12:46;2023-03-27 15:12:46
267;65;5;2023-03-09;8:43:45;in;2023-03-27 15:12:46;2023-03-27 15:12:46
268;65;5;2023-03-09;19:00:19;out;2023-03-27 15:12:46;2023-03-27 15:12:46
269;73;1;2023-03-09;7:06:44;in;2023-03-27 15:12:46;2023-03-27 15:12:46
270;73;1;2023-03-09;17:48:35;out;2023-03-27 15:12:46;2023-03-27 15:12:46
271;16;2;2023-03-09;10:10:33;in;2023-03-27 15:12:46;2023-03-27 15:12:46
272;16;2;2023-03-09;20:57:31;out;2023-03-27 15:12:47;2023-03-27 15:12:47
273;9;3;2023-03-09;10:32:37;in;2023-03-27 15:12:47;2023-03-27 15:12:47
274;7;3;2023-03-09;7:08:11;in;2023-03-27 15:12:47;2023-03-27 15:12:47
275;7;3;2023-03-09;19:06:55;out;2023-03-27 15:12:47;2023-03-27 15:12:47
276;74;5;2023-03-09;9:16:40;in;2023-03-27 15:12:47;2023-03-27 15:12:47
277;1;5;2023-03-09;8:12:32;in;2023-03-27 15:12:47;2023-03-27 15:12:47
278;1;5;2023-03-09;18:33:23;out;2023-03-27 15:12:47;2023-03-27 15:12:47
279;30;3;2023-03-09;8:36:15;in;2023-03-27 15:12:47;2023-03-27 15:12:47
280;30;3;2023-03-09;16:46:55;out;2023-03-27 15:12:47;2023-03-27 15:12:47
281;49;5;2023-03-09;10:43:59;in;2023-03-27 15:12:47;2023-03-27 15:12:47
282;15;1;2023-03-09;9:13:49;in;2023-03-27 15:12:47;2023-03-27 15:12:47
283;15;1;2023-03-09;19:22:24;out;2023-03-27 15:12:47;2023-03-27 15:12:47
284;69;2;2023-03-09;10:21:27;in;2023-03-27 15:12:47;2023-03-27 15:12:47
285;69;2;2023-03-09;17:24:14;out;2023-03-27 15:12:47;2023-03-27 15:12:47
286;41;3;2023-03-09;9:38:19;in;2023-03-27 15:12:47;2023-03-27 15:12:47
287;41;3;2023-03-09;16:40:46;out;2023-03-27 15:12:47;2023-03-27 15:12:47
288;68;4;2023-03-09;10:05:12;in;2023-03-27 15:12:47;2023-03-27 15:12:47
289;68;4;2023-03-09;15:58:17;out;2023-03-27 15:12:47;2023-03-27 15:12:47
290;22;3;2023-03-09;9:18:57;in;2023-03-27 15:12:47;2023-03-27 15:12:47
291;76;3;2023-03-09;7:21:30;in;2023-03-27 15:12:47;2023-03-27 15:12:47
292;58;5;2023-03-09;7:28:33;in;2023-03-27 15:12:47;2023-03-27 15:12:47
293;58;5;2023-03-09;18:03:25;out;2023-03-27 15:12:47;2023-03-27 15:12:47
294;11;3;2023-03-09;6:04:25;in;2023-03-27 15:12:47;2023-03-27 15:12:47
295;20;2;2023-03-09;7:27:33;in;2023-03-27 15:12:47;2023-03-27 15:12:47
296;20;2;2023-03-09;20:14:53;out;2023-03-27 15:12:47;2023-03-27 15:12:47
